title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
El violador eres tú | Jéssica Fillol | TEDxVitoriaGasteiz,gmNxydO9RwY,"Jéssica Fillol nos da pistas sobre quién comete la mayor parte de los delitos de violación y no son precisamente encapuchados en callejones oscuros.
 Especialista en marketing online, estudiante de ciencias sociales, activista en los ratos libres y curiosa a tiempo completo. Mete la pata con frecuencia y no le duele cambiar de opinión: es de esas personas que cree que un experto es aquel que ha cometido todos los errores posibles en un determinado campo. “Demasiado feminista” según algunos, “demasiado radical” según otros. Se dedicó al marketing para comerse el mundo, estudió ciencias sociales para entenderlo, y hace activismo para cambiarlo. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T16:28:29Z,12,9,392,4
Bettering the Creative Industries of Tomorrow | Will Kennard | TEDxWarwick,G_HxjtZTe-o,"After forming Chase and Status, Will decided to focus solely on their music. In that time Will taught music technology at North Trafford College for two years part time, and he remarks that the talent of the students from underprivileged backgrounds at that college was his inspiration to found the East London Arts and Music School (ELAM) in 2014.

The school is in Tower Hamlets, one of the poorest areas in East London, and the aim of the school is to develop the musical talent in the area for 16-19 year old students from socially disadvantaged backgrounds.

Will talks about educational inequalities, social mobility and the role that creativity plays in shaping the lives of young people, with the belief that music is a central way to educate the next generation. Will 'Status' Kennard is one half of the infamous music duo, Chase and Status, that is responsible for propelling the drum and bass genre into mass popularity with chart-topping hits such as 'Blind Faith' and 'End Credits'. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T16:10:51Z,28,2,542,8
Kõiki kaasav disain | Daniel Kotsjuba | TEDxTallinn,BWsbL8rAWRI,"Igal inimesel on elu jooksul mõni erivajadus: kui kannad prille, oled lapsevanem või vananed, siis kuulud mingil hetkel erivajadustega inimeste hulka. Kui disainida keskkonda nii, et arvestada juba eos kõigi erivajadustega, siis ei peagi enam tegelema ligipääsetavusega. Selle eelduseks on muidugi inimeste mõistmine.
 Disainer, kes usub, et inimeste mitmekesisuses peitub võimalus kuidas luua uudseid ning paremaid lahendusi, millest võidavad kõik. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:52:44Z,7,0,401,1
Igaühe looduskaitse | Aveliina Helm | TEDxTallinn,bGraMnn-PS8,"Maailma elurikkuse seis on täna lausa katastroofiline: iga kaheksas liik on väljasuremisohus. Euroopas pole ühtki ökosüsteemi, kus oleks elurikkuse olukord paranenud, trend on samas suunas ka Eestis. Ometi ei ole see paratamatu ja iga inimene saab sinna oma panuse anda. 
 Looduseuurija, kes soovib luua tulevikku, kus hea elu ja looduse säilimine on ühendatud. Aveliina toimetab Tartu Ülikoolis vanemteadurina, õppejõuna, bioloogi ja looduskaitseteadlasena. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:52:31Z,19,0,249,0
Rebirth | 子丰 戢 | TEDxYongqingSt,XiX6Q2373Ho,"All presuppositions are unimportant because we want to open a window. Let the sunshine pour into the endless suffering of our life. Only in this way can we separate the moment from the long life pattern,
Separate the moment of anger, the moment of love, the moment of identification and betrayal, the moment of desire, or just the moment of silence.
In these moments, we can believe that we are kinder, quieter and more complete than we actually are, and that we can be independent and strong.
It is only because we believe in such a moment that our life is unique and irreplaceable. This is ""rebirth"". 毕业于北京电影学院（本科）
美国顶级艺术学院Art Center College of Design（硕士）
全国新概念作文大赛一等奖 中国少年作家杯一等奖
北京电影学院2012年度导演系优秀作品
入围2015年韩国青龙青电影节青年展映单元
曾就职于B站总播放量过亿的狮林影视公司
拍摄数部播放量过百万的影视作品，作品包括
短片《朋友列传》
短片《克伦威尔星》
网络剧《二次元奇妙物语》
网络大电影《古镇疑云》
网络综艺《网络观察室》
手游布武天下广告片《傲皇》
华为荣耀广告片《荣耀大侦探》
网络综艺《故事盖浇饭》
网络剧《熊志凌云》
2019年成立属于自己的杰杰丰影视公司，以创造有趣文化产品为自己的小目标，为大家带来快乐，奉送欢笑和喜悦。 This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:51:22Z,29,0,212,1
Resilience | 泊林Ella 余YU | TEDxYongqingSt,x8tNtp0L7no,"The speech is mainly about the psychological change and acceptance process of her family moving to the United States from junior high school, and after fully integrating into the local environment, she suddenly returned to China to continue high school due to the change of family plan. Has previously studied in the United States for three years and is the founder of her own podcast ""Ella Talks,"" on ""Ximalaya."" 
A passionate writer and poet who published proses and poems relating to social justice and more. 
An active tennis player on the school's team and has won recognitions and awards in United States.
Volunteered to help promote Chinese culture at fairs and has taught elementary kids Chinese. 
As a classical music lover, Ella also participates in piano competitions, recitals, and talent shows anually.

曾经在美国留学三年，在喜马拉雅上创立自己的英文播客”Ella Talks”。平时热爱写作并在多个线上杂志发表散文，诗等。喜欢打网球，在校曾是活跃的网球队队员，在赛季参与多次校际联赛并获奖项。在美国时，曾领导学校中文社并经常在各个志愿者活动中宣传中国文化和教小学学生中文。从小喜欢音乐，学习钢琴十多年，每年参加钢琴比赛，演出数十场。 This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:51:10Z,32,0,379,2
Rebirth | 邦平 肖 | TEDxYongqingSt,HuhyejhJREA,"The speech tells his entrepreneurial story and share with us how he overcame unexpected difficulties and achieved phased success. 毕业于南加州大学物理系
曾获国家物理奥林匹克竞赛一等奖
大二创办CIS学术科研项目，至今有包含哈佛，耶鲁，普利斯顿在内超过300位常春藤终身荣誉及院长级教授在工科/理科/人文/商科领域通过该项目为国内超过6000位学生提供科研及学术项目指导，近60%学生获得美国前50录取，藤校录取率超25% This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:49:50Z,14,0,214,3
Qui suis je ? Le rôle des figures d’attachement et de l’école.. | Vitoria Fernandes | TEDxPoitiers,xdyNAgA6Zg4,"Qui sommes-nous ? Lors de plusieurs voyages autour du globe, au sein de différentes familles et d’institutions pour enfants, une grande remise en question s’effectue : qui sommes-nous ? Et pourquoi sommes-nous ainsi ? Que pouvons-nous changer pour améliorer le bien-être et le bon développement de soi et des autres ? En particulier à l’école. 
Le challenge de cette enseignante passionnée de neurosciences : prouver que nous avons un impact direct sur le développement des autres, et prendre conscience de ce qui nous a développé, et de ce qui a construit la personne, que nous pensons être aujourd’hui. Vitoria Fernandes est une jeune professeur des écoles, passionnée de neurosciences et psychologie, elle a souvent remarqué l’impact des mots et des différentes méthodes d’enseignements sur les enfants et leur bien-être. Elle décide alors de partir 1 an autour du monde pour apprendre et découvrir les différentes méthodes et mentalités liées au développement. 
Tout une remise en question s’effectue alors sur l’impact que nous avons dans la construction de soi et des autres. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:49:22Z,27,0,273,2
Reviving the Culture of Accountability  | Chirangee Tisssera | TEDxNegombo,7t2kd8H9Hfc,Chirangee Tissera talks about why we should be accountable for our actions and the importance of spreading a culture of accountability. Founder and CEO of ConsltEd This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx,2020-10-09T14:48:53Z,36,0,361,1
As várias dimensões dos seres humanos | Danny Zahreddine | TEDxPUCMinasLive,-uFJW9jtXAY,"Danny Zahreddine é professor e pesquisador. Possui graduação em Relações Internacionais e em Turismo pela PUC Minas. É mestre e doutor em Geografia - Tratamento da Informação Espacial pela PUC Minas. É Diretor do Instituto de Ciências Sociais da PUC Minas e professor do Departamento de Relações Internacionais, atuando como professor do corpo permanente do Programa de Pós-graduação e da graduação. Além disto, é professor do curso de Pós-graduação em Estudos Diplomáticos do Centro de Direito Internacional (CEDIN) e líder do Grupo de Pesquisa Oriente Médio e Magreb do CNPQ. Tem experiência na área de Relações Internacionais, atuando principalmente nos temas de política externa brasileira, política internacional e geopolítica. Possui graduação em Relações Internacionais e em Turismo pela PUC Minas. É mestre e doutor em Geografia - Tratamento da Informação Espacial pela PUC Minas. É Diretor do Instituto de Ciências Sociais da PUC Minas e professor do Departamento de Relações Internacionais, atuando como professor do corpo permanente do Programa de Pós-graduação e da graduação. Além disto, é professor do curso de Pós-graduação em Estudos Diplomáticos do Centro de Direito Internacional (CEDIN) e líder do Grupo de Pesquisa Oriente Médio e Magreb do CNPQ. Tem experiência na área de Relações Internacionais, atuando principalmente nos seguintes temas: Política externa brasileira, política internacional, Fundamentos em Relações Internacionais, geopolítica, focos de tensão, sistemas de informações geográficas e geodemografia. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2020-10-09T14:48:06Z,17,0,157,0
